%"phi","phi_dot","elevations","pressure","dphi_dn","fluid_vel_x","fluid_vel_y","fluid_vel_z","nodes_vel_x","nodes_vel_y","nodes_vel_z","break_wave_press","comp_1","comp_2","comp_3","comp_4","iges_normals_x","iges_normals_y","iges_normals_z","Points:0","Points:1","Points:2"
-0.175561867,-0.006378978358,0,114625.9531,0,2.097454476,-1.602679833e-08,-4.513707692e-06,0,0,0,0,2254.86377,-2254.86377,114619.4219,6.539090974,0,0,0,-51.29032898,1.98484007,-11.39785099
-0.1756592236,-0.006271001508,0.0006370696715,0.09284994695,0,2.097453843,3.808032884e-09,-1.148771122e-05,0,0,-1.894658391e-05,0,2254.86377,-2254.86377,-6.331746468,6.42840372,0,0,0,-51.29032898,1.98484007,0.000629634128
-0.1606995528,-0.005501724859,0.002259507755,-16.81997269,0,2.097458197,-3.225435874e-07,0.0001291445141,0,0,1.233153134e-07,0,2254.86377,-2254.86377,-22.44641375,5.639818128,0,0,0,51.29032898,1.98484007,0.002232090124
-0.1612815921,-0.005716410046,0.0007726832559,74697.57216,0,2.09745711,-3.226422634e-07,3.199510429e-05,0,0,1.265043185e-06,0,2254.86377,-2254.86377,74691.72703,5.85989194,0,0,0,51.29032898,1.98484007,-7.427407685
-0.1755488811,-0.006423170285,0.0006550201225,-0.007030916003,-1.698314297e-05,2.097470284,1.284930957e-08,-1.621145417e-05,-2.199106719e-10,7.893802231e-14,-1.960660865e-05,-9.386138067e-14,2254.86377,-2254.902917,-6.552312158,6.584391835,0,0,0,-39.13452463,1.98484007,0.0006515673947
-0.1752184249,-0.006675677134,0.0006721743214,-0.01125077062,-6.216323765e-06,2.097483521,4.094733503e-08,-6.011476042e-06,-2.17973033e-09,7.824462987e-13,-9.807017608e-06,3.285150835e-13,2254.86377,-2254.931322,-6.786739783,6.843236284,0,0,0,-26.9787348,1.98484007,0.0006748790548
-0.1711414423,-0.006823586632,1.237350528e-15,114625.7898,0,2.097742395,-5.68532124e-06,-9.737651425e-20,0,0,0,0,2254.86377,-2255.48817,114619.4219,6.994879067,0,0,0,3.031820774,1.98484007,-11.39785099
-0.1722622261,-0.006836680492,1.237350528e-15,114625.5568,0,2.097856325,5.579430279e-06,1.97477035e-19,0,0,0,0,2254.86377,-2255.733131,114619.4219,7.00830988,0,0,0,-3.107738015e-16,1.98484007,-11.39785099
-0.1732067422,-0.006839410175,-1.776356839e-15,114625.8624,0,2.097716833,9.455132318e-06,1.19832966e-19,0,0,0,0,2254.86377,-2255.433378,114619.4219,7.011098153,0,0,0,-2.667104483,1.98484007,-11.39785099
-0.1754603195,-0.006462595962,0,114626.0078,0,2.097467661,-1.100768383e-08,-6.631199445e-07,0,0,0,0,2254.86377,-2254.897418,114619.4219,6.624808301,0,0,0,-39.13452148,1.98484007,-11.39785099
-0.1751765547,-0.00663230818,0,114626.1562,0,2.097479748,1.142688631e-08,-2.957416837e-07,0,0,0,0,2254.86377,-2254.923436,114619.4219,6.798781403,0,0,0,-26.9787159,1.98484007,-11.39785099
-0.1612815869,-0.005716409884,0.0007726832559,74697.57311,0,2.09745711,-3.226422611e-07,3.199510429e-05,0,0,1.265044373e-06,0,2254.86377,-2254.86377,74691.72575,5.859891774,0,0,0,51.29032898,1.98484007,-7.427407571
-0.1615447681,-0.005831007367,0,114625.3699,0,2.097463254,7.391106243e-07,1.867043812e-05,0,0,0,0,2254.86377,-2254.86377,114619.4219,5.977365647,0,0,0,51.29032898,1.98484007,-11.39785099
